date,base_price,unit
2022-04-27,0.27,US$/Wp
2022-04-27,0.275,US$/Wp
2022-04-27,0.275,US$/Wp
2022-05-04,0.2,US$/Wp
2022-05-04,0.29,US$/Wp
2022-05-04,0.29,US$/Wp
2022-05-04,0.265,US$/Wp
2022-05-04,0.27,US$/Wp
2022-05-04,0.27,US$/Wp
2022-05-04,0.275,US$/Wp
2022-05-04,0.275,US$/Wp
2022-05-11,0.199,US$/Wp
2022-05-11,0.28,US$/Wp
2022-05-11,0.28,US$/Wp
2022-05-11,0.265,US$/Wp
2022-05-11,0.27,US$/Wp
2022-05-11,0.27,US$/Wp
2022-05-11,0.275,US$/Wp
2022-05-11,0.275,US$/Wp
2022-05-18,0.199,US$/Wp
2022-05-18,0.29,US$/Wp
2022-05-18,0.29,US$/Wp
2022-05-18,0.265,US$/Wp
2022-05-18,0.27,US$/Wp
2022-05-18,0.27,US$/Wp
2022-05-18,0.275,US$/Wp
2022-05-18,0.275,US$/Wp
2022-05-25,0.209,US$/Wp
2022-05-25,0.29,US$/Wp
2022-05-25,0.29,US$/Wp
2022-05-25,0.265,US$/Wp
2022-05-25,0.27,US$/Wp
2022-05-25,0.27,US$/Wp
2022-05-25,0.275,US$/Wp
2022-05-25,0.275,US$/Wp
2022-06-01,0.209,US$/Wp
2022-06-01,0.29,US$/Wp
2022-06-01,0.29,US$/Wp
2022-06-01,0.265,US$/Wp
2022-06-01,0.27,US$/Wp
2022-06-01,0.27,US$/Wp
2022-06-01,0.275,US$/Wp
2022-06-01,0.275,US$/Wp
2022-06-08,0.209,US$/Wp
2022-06-08,0.29,US$/Wp
2022-06-08,0.29,US$/Wp
2022-06-08,0.265,US$/Wp
2022-06-08,0.27,US$/Wp
2022-06-08,0.27,US$/Wp
2022-06-08,0.275,US$/Wp
2022-06-08,0.275,US$/Wp
2022-06-15,0.208,US$/Wp
2022-06-15,0.29,US$/Wp
2022-06-15,0.29,US$/Wp
2022-06-15,0.265,US$/Wp
2022-06-15,0.27,US$/Wp
2022-06-15,0.27,US$/Wp
2022-06-15,0.275,US$/Wp
2022-06-15,0.275,US$/Wp
2022-06-22,0.208,US$/Wp
