date,base_price
2023-06-14,0.245
2023-06-21,0.165
2023-06-21,0.199
2023-06-21,0.202
2023-06-21,0.201
2023-06-21,0.203
2023-06-21,0.2
2023-06-21,0.2
2023-06-21,0.205
2023-06-21,0.205
2023-06-21,0.216
2023-06-21,0.242
2023-06-28,0.151
2023-06-28,0.186
2023-06-28,0.189
2023-06-28,0.187
2023-06-28,0.19
2023-06-28,0.195
2023-06-28,0.195
2023-06-28,0.2
2023-06-28,0.2
2023-06-28,0.214
2023-06-28,0.233
2023-07-05,0.15
2023-07-05,0.184
2023-07-05,0.187
2023-07-05,0.187
2023-07-05,0.19
2023-07-05,0.19
2023-07-05,0.19
2023-07-05,0.194
2023-07-05,0.194
2023-07-05,0.208
2023-07-05,0.226
2023-07-12,0.15
2023-07-12,0.185
2023-07-12,0.188
2023-07-12,0.188
2023-07-12,0.191
2023-07-12,0.185
2023-07-12,0.185
2023-07-12,0.19
2023-07-12,0.19
2023-07-12,0.202
2023-07-12,0.22
2023-07-19,0.15
2023-07-19,0.185
2023-07-19,0.188
2023-07-19,0.188
2023-07-19,0.191
2023-07-19,0.18
2023-07-19,0.18
2023-07-19,0.185
2023-07-19,0.185
2023-07-19,0.199
2023-07-19,0.22
2023-07-26,0.148
2023-07-26,0.182
2023-07-26,0.186
2023-07-26,0.183
2023-07-26,0.188
2023-07-26,0.18
2023-07-26,0.18
2023-07-26,0.185
2023-07-26,0.185
2023-07-26,0.2
2023-07-26,0.221
2023-08-02,0.147
2023-08-02,0.178
2023-08-02,0.181
2023-08-02,0.181
2023-08-02,0.184
2023-08-02,0.175
2023-08-02,0.175
2023-08-02,0.18
2023-08-02,0.18
2023-08-02,0.195
2023-08-02,0.22
2023-08-09,0.146
2023-08-09,0.178
2023-08-09,0.181
2023-08-09,0.181
2023-08-09,0.184
2023-08-09,0.175
2023-08-09,0.175
2023-08-09,0.18
2023-08-09,0.18
2023-08-09,0.195
2023-08-09,0.22
2023-08-16,0.145
2023-08-16,0.174
2023-08-16,0.173
2023-08-16,0.176
2023-08-16,0.184
2023-08-16,0.17
2023-08-16,0.17
2023-08-16,0.175
2023-08-16,0.175
2023-08-16,0.185
2023-08-16,0.217
2023-08-23,0.144
2023-08-23,0.169
2023-08-23,0.169
2023-08-23,0.17
2023-08-23,0.184
2023-08-23,0.17
2023-08-23,0.17
2023-08-23,0.175
2023-08-23,0.175
2023-08-23,0.186
2023-08-23,0.217
2023-08-30,0.142
2023-08-30,0.169
2023-08-30,0.169
2023-08-30,0.17
2023-08-30,0.184
2023-08-30,0.17
2023-08-30,0.17
2023-08-30,0.175
2023-08-30,0.175
2023-08-30,0.185
2023-08-30,0.217
2023-09-06,0.141
2023-09-06,0.168
2023-09-06,0.168
2023-09-06,0.169
2023-09-06,0.184
2023-09-06,0.16
2023-09-06,0.16
2023-09-06,0.165
2023-09-06,0.165
2023-09-06,0.182
2023-09-06,0.216
2023-09-13,0.14
2023-09-13,0.169
2023-09-13,0.169
2023-09-13,0.17
2023-09-13,0.184
2023-09-13,0.16
2023-09-13,0.16
2023-09-13,0.165
2023-09-13,0.165
2023-09-13,0.183
2023-09-13,0.213
2023-09-20,0.14
2023-09-20,0.166
2023-09-20,0.168
2023-09-20,0.168
2023-09-20,0.17
2023-09-20,0.15
2023-09-20,0.15
2023-09-20,0.155
2023-09-20,0.155
2023-09-20,0.178
2023-09-20,0.21
2023-09-27,0.139
2023-09-27,0.166
2023-09-27,0.168
2023-09-27,0.168
2023-09-27,0.17
2023-09-27,0.15
2023-09-27,0.15
2023-09-27,0.155
2023-09-27,0.155
2023-09-27,0.178
2023-09-27,0.206
2023-10-04,0.138
2023-10-04,0.166
2023-10-04,0.168
2023-10-04,0.168
2023-10-04,0.17
2023-10-04,0.15
2023-10-04,0.15
2023-10-04,0.155
2023-10-04,0.155
2023-10-04,0.18
2023-10-04,0.208
2023-10-11,0.133
2023-10-11,0.164
2023-10-11,0.166
2023-10-11,0.166
2023-10-11,0.167
2023-10-11,0.145
2023-10-11,0.145
2023-10-11,0.15
2023-10-11,0.15
2023-10-11,0.175
