date,base_price,unit
2022-11-23,0.255,US$/Wp
2022-11-30,0.25,US$/Wp
2022-11-30,0.25,US$/Wp
2022-12-07,0.25,US$/Wp
2022-12-07,0.25,US$/Wp
2022-12-14,0.25,US$/Wp
2022-12-14,0.25,US$/Wp
2022-12-21,0.245,US$/Wp
2022-12-21,0.245,US$/Wp
2022-12-28,0.245,US$/Wp
2022-12-28,0.245,US$/Wp
2023-01-04,0.245,US$/Wp
2023-01-04,0.245,US$/Wp
2023-01-11,0.24,US$/Wp
2023-01-11,0.24,US$/Wp
2023-01-18,0.235,US$/Wp
2023-01-18,0.235,US$/Wp
2023-01-25,0.235,US$/Wp
2023-01-25,0.235,US$/Wp
2023-02-01,0.23,US$/Wp
2023-02-01,0.23,US$/Wp
2023-02-08,0.23,US$/Wp
2023-02-08,0.23,US$/Wp
2023-02-15,0.23,US$/Wp
2023-02-15,0.23,US$/Wp
2023-02-22,0.23,US$/Wp
2023-02-22,0.23,US$/Wp
2023-03-01,0.225,US$/Wp
2023-03-01,0.225,US$/Wp
2023-03-08,0.225,US$/Wp
2023-03-08,0.225,US$/Wp
2023-03-15,0.225,US$/Wp
2023-03-15,0.225,US$/Wp
2023-03-22,0.225,US$/Wp
2023-03-22,0.225,US$/Wp
2023-03-29,0.225,US$/Wp
2023-03-29,0.225,US$/Wp
2023-04-05,0.22,US$/Wp
2023-04-05,0.22,US$/Wp
2023-04-12,0.22,US$/Wp
2023-04-12,0.22,US$/Wp
2023-04-19,0.22,US$/Wp
2023-04-19,0.22,US$/Wp
2023-04-26,0.22,US$/Wp
2023-04-26,0.22,US$/Wp
2023-05-03,0.22,US$/Wp
2023-05-03,0.22,US$/Wp
2023-05-10,0.215,US$/Wp
2023-05-10,0.215,US$/Wp
2023-05-17,0.215,US$/Wp
2023-05-17,0.215,US$/Wp
2023-05-24,0.215,US$/Wp
2023-05-24,0.215,US$/Wp
2023-05-31,0.21,US$/Wp
2023-05-31,0.21,US$/Wp
2023-06-07,0.21,US$/Wp
2023-06-07,0.21,US$/Wp
2023-06-14,0.21,US$/Wp
2023-06-14,0.21,US$/Wp
2023-06-21,0.205,US$/Wp
2023-06-21,0.205,US$/Wp
2023-06-28,0.2,US$/Wp
2023-06-28,0.2,US$/Wp
2023-07-05,0.195,US$/Wp
2023-07-05,0.195,US$/Wp
2023-07-12,0.19,US$/Wp
2023-07-12,0.19,US$/Wp
2023-07-19,0.18,US$/Wp
2023-07-19,0.18,US$/Wp
2023-07-26,0.18,US$/Wp
2023-07-26,0.18,US$/Wp
2023-08-02,0.175,US$/Wp
2023-08-02,0.175,US$/Wp
2023-08-09,0.175,US$/Wp
2023-08-09,0.175,US$/Wp
2023-08-16,0.17,US$/Wp
2023-08-16,0.17,US$/Wp
2023-08-23,0.17,US$/Wp
2023-08-23,0.17,US$/Wp
2023-08-30,0.168,US$/Wp
2023-08-30,0.168,US$/Wp
2023-09-06,0.165,US$/Wp
2023-09-06,0.165,US$/Wp
2023-09-13,0.165,US$/Wp
2023-09-13,0.165,US$/Wp
2023-09-20,0.16,US$/Wp
2023-09-20,0.16,US$/Wp
2023-09-27,0.16,US$/Wp
2023-09-27,0.16,US$/Wp
2023-10-04,0.16,US$/Wp
2023-10-04,0.16,US$/Wp
2023-10-11,0.15,US$/Wp
2023-10-11,0.15,US$/Wp
2023-10-18,0.145,US$/Wp
2023-10-18,0.145,US$/Wp
2023-10-25,0.135,US$/Wp
2023-10-25,0.135,US$/Wp
2023-11-01,0.13,US$/Wp
2023-11-01,0.13,US$/Wp
2023-11-08,0.13,US$/Wp
2023-11-08,0.13,US$/Wp
2023-11-15,0.13,US$/Wp
2023-11-15,0.13,US$/Wp
2023-11-22,0.13,US$/Wp
2023-11-22,0.13,US$/Wp
2023-11-29,0.13,US$/Wp
2023-11-29,0.13,US$/Wp
2023-12-06,0.13,US$/Wp
2023-12-06,0.13,US$/Wp
2023-12-13,0.13,US$/Wp
2023-12-13,0.13,US$/Wp
2023-12-20,0.13,US$/Wp
2023-12-20,0.13,US$/Wp
2023-12-27,0.13,US$/Wp
2023-12-27,0.13,US$/Wp
2024-01-03,0.13,US$/Wp
2024-01-03,0.13,US$/Wp
2024-01-10,0.12,US$/Wp
2024-01-10,0.12,US$/Wp
2024-01-17,0.12,US$/Wp
2024-01-17,0.12,US$/Wp
2024-01-24,0.12,US$/Wp
2024-01-24,0.12,US$/Wp
2024-01-31,0.12,US$/Wp
2024-01-31,0.12,US$/Wp
2024-02-07,0.12,US$/Wp
2024-02-07,0.12,US$/Wp
2024-02-14,0.12,US$/Wp
2024-02-14,0.12,US$/Wp
2024-02-21,0.12,US$/Wp
2024-02-21,0.12,US$/Wp
2024-02-28,0.12,US$/Wp
2024-02-28,0.12,US$/Wp
2024-03-06,0.12,US$/Wp
2024-03-06,0.12,US$/Wp
2024-03-13,0.12,US$/Wp
2024-03-13,0.12,US$/Wp
2024-03-20,0.12,US$/Wp
2024-03-20,0.12,US$/Wp
2024-03-27,0.12,US$/Wp
2024-03-27,0.12,US$/Wp
2024-04-03,0.12,US$/Wp
2024-04-03,0.12,US$/Wp
2024-04-03,0.125,US$/Wp
2024-04-03,0.125,US$/Wp
2024-04-10,0.12,US$/Wp
2024-04-10,0.12,US$/Wp
2024-04-10,0.125,US$/Wp
2024-04-10,0.125,US$/Wp
2024-04-17,0.12,US$/Wp
2024-04-17,0.12,US$/Wp
2024-04-17,0.125,US$/Wp
2024-04-17,0.125,US$/Wp
2024-04-24,0.12,US$/Wp
2024-04-24,0.12,US$/Wp
2024-04-24,0.125,US$/Wp
2024-04-24,0.125,US$/Wp
2024-05-01,0.12,US$/Wp
2024-05-01,0.12,US$/Wp
2024-05-01,0.125,US$/Wp
2024-05-01,0.125,US$/Wp
2024-05-08,0.115,US$/Wp
2024-05-08,0.115,US$/Wp
2024-05-08,0.125,US$/Wp
2024-05-08,0.125,US$/Wp
2024-05-15,0.115,US$/Wp
2024-05-15,0.115,US$/Wp
2024-05-15,0.12,US$/Wp
2024-05-15,0.12,US$/Wp
2024-05-22,0.115,US$/Wp
2024-05-22,0.115,US$/Wp
2024-05-22,0.12,US$/Wp
2024-05-22,0.12,US$/Wp
2024-05-29,0.115,US$/Wp
2024-05-29,0.115,US$/Wp
2024-05-29,0.12,US$/Wp
2024-05-29,0.12,US$/Wp
2024-06-05,0.115,US$/Wp
2024-06-05,0.115,US$/Wp
2024-06-05,0.12,US$/Wp
2024-06-05,0.12,US$/Wp
2024-06-12,0.115,US$/Wp
2024-06-12,0.115,US$/Wp
2024-06-12,0.12,US$/Wp
2024-06-12,0.12,US$/Wp
2024-06-19,0.115,US$/Wp
2024-06-19,0.115,US$/Wp
2024-06-19,0.12,US$/Wp
2024-06-19,0.12,US$/Wp
2024-06-26,0.115,US$/Wp
2024-06-26,0.115,US$/Wp
2024-06-26,0.12,US$/Wp
2024-06-26,0.12,US$/Wp
2024-07-03,0.115,US$/Wp
2024-07-03,0.115,US$/Wp
2024-07-03,0.12,US$/Wp
2024-07-03,0.12,US$/Wp
2024-07-10,0.105,US$/Wp
2024-07-10,0.105,US$/Wp
2024-07-10,0.115,US$/Wp
2024-07-10,0.115,US$/Wp
2024-07-17,0.105,US$/Wp
2024-07-17,0.105,US$/Wp
2024-07-17,0.115,US$/Wp
2024-07-17,0.115,US$/Wp
2024-07-24,0.105,US$/Wp
2024-07-24,0.105,US$/Wp
2024-07-24,0.115,US$/Wp
2024-07-24,0.115,US$/Wp
2024-07-31,0.105,US$/Wp
2024-07-31,0.105,US$/Wp
2024-07-31,0.115,US$/Wp
2024-07-31,0.115,US$/Wp
2024-08-07,0.1,US$/Wp
2024-08-07,0.1,US$/Wp
2024-08-07,0.11,US$/Wp
2024-08-07,0.11,US$/Wp
2024-08-14,0.1,US$/Wp
2024-08-14,0.1,US$/Wp
2024-08-14,0.11,US$/Wp
2024-08-14,0.11,US$/Wp
2024-08-21,0.1,US$/Wp
2024-08-21,0.1,US$/Wp
2024-08-21,0.11,US$/Wp
2024-08-21,0.11,US$/Wp
2024-08-28,0.1,US$/Wp
2024-08-28,0.1,US$/Wp
2024-08-28,0.11,US$/Wp
2024-08-28,0.11,US$/Wp
2024-09-04,0.1,US$/Wp
2024-09-04,0.1,US$/Wp
2024-09-04,0.11,US$/Wp
2024-09-04,0.11,US$/Wp
2024-09-11,0.1,US$/Wp
2024-09-11,0.1,US$/Wp
2024-09-11,0.11,US$/Wp
2024-09-11,0.11,US$/Wp
2024-09-18,0.1,US$/Wp
2024-09-18,0.1,US$/Wp
2024-09-18,0.11,US$/Wp
2024-09-18,0.11,US$/Wp
2024-09-25,0.1,US$/Wp
2024-09-25,0.1,US$/Wp
2024-09-25,0.11,US$/Wp
2024-09-25,0.11,US$/Wp
2024-10-02,0.1,US$/Wp
2024-10-02,0.1,US$/Wp
2024-10-02,0.11,US$/Wp
2024-10-02,0.11,US$/Wp
2024-10-09,0.1,US$/Wp
